id,name,class_id
553,Polyacanthorhynchida,47
554,Polycladida,47
555,Polydesmida,40
556,Polygordiida,107
557,Polymastiida,39
558,Polymixiiformes,1
559,Polymorphida,97
560,Polypodiidea,109
561,Polypteriformes,1
562,Polystilifera,65
563,Polystomatidea,85
564,Polyxenida,40
565,Polyzoniida,40
566,Porocephalida,68
567,Porocephaliformis,68
568,Pourtalesioida,42
569,Priapulomorpha,111
570,Pristiformes,43
571,Pristiophoriformes,43
572,Procellariiformes,14
573,Prolecithophora,14
574,Proplicastomata,140
575,Prorhynchida,140
576,Proseriata,140
577,Proteocephalidea,25
578,Protodrilida,107
579,Psammodrilida,107
580,Pseudophyllidea,25
581,Pseudoscorpiones,10
582,Pseudoscorpionida,10
583,Psittaciformes,14
584,Psocoptera,69
585,Pteriida,15
586,Pteropoda,52
587,Ptychodactiaria,7
588,Pygasteroida,42
589,Pygocephalomorpha,78
590,Pygophora,60
591,Pyrosomatida,137
592,Questida,107
593,Raillietiellida,68
594,Rajiformes,43
595,Reighardiida,68
596,Rhabditida,27
597,Rhabdocoela,27
598,Rhabdopleuroidea,56
599,Rhaptothyreida,91
600,Rhinebothriidea,25
601,Rhinopristiformes,43
602,Rhipidoglossa,52
603,Rhizocephala,60
604,Rhizostomeae,125
605,Rhynchobdellida,29
606,Rhynchonellida,117
607,Rodentia,79
608,Rugosa,7
609,Runcinacea,52
610,Runcinida,52
611,Sabellida,107
612,Saccopharyngiformes,1
613,Salenioida,42
614,Salmoniformes,1
615,Salpida,137
616,Sarcoptiformes,10
617,Sarcotacidea,60
618,Sauria,115
619,Scalpelliformes,60
620,Sceptrulophora,59
621,Schizopoda,78
622,Scleractinia,7
623,Scolecidaformia,107
624,Scolopendromorpha,26
625,Scopalinida,39
626,Scorpaeniformes,1
627,Scorpiones,10
628,Scutigeromorpha,26
629,Seguenziida,52
630,Seisonacea,99
631,Seisonida,127
632,Semaeostomeae,125
633,Sepiida,24
634,Septemchitonida,108
635,Sessilia,60
636,Seticoronaria,111
637,Siluriformes,1
638,Siphonaptera,69
639,Siphonariida,52
640,Siphoniulida,40
641,Siphonocryptida,40
642,Siphonophora,67
643,Siphonophorae,67
644,Siphonophorida,40
645,Siphonostomatoida,60
646,Siphonotretida,74
647,Sirenia,79
648,Solemyida,15
649,Solitaria,15
650,Spatangidea,42
651,Spatangoida,42
652,Spatangoida incertae sedis,42
653,Spathebothriidea,25
654,Spelaeogriphacea,78
655,Sphaeriida,15
656,Sphaerocladina,39
657,Sphaerotheriida,40
658,Sphenisciformes,14
659,Spinicaudata,16
660,Spintherida,107
661,Spinulosida,13
662,Spionida,107
663,Spirastrellida,39
664,Spirobolida,40
665,Spirophorida,39
666,Spirostreptida,40
667,Spirularia,7
668,Spirulida,24
