id,name,family_id
359,Acantholithodes,3175
360,Acantholithus,4028
361,Acantholobulus,5232
362,Acantholochus,961
363,Acantholumpenus,7005
364,Acantholunaria,2807
365,Acanthomacrostomum,2309
366,Acanthomenia,40
367,Acanthomicrolaimus,4407
368,Acanthomolgus,6434
369,Acanthomunna,2115
370,Acanthomuricea,5756
371,Acanthomysis,4616
372,Acanthonchus,1938
373,Acanthoniscus,2090
374,Acanthonosus,4812
375,Acanthonotozoma,42
376,Acanthonotozomella,43
377,Acanthonotozomoides,43
378,Acanthonotozomopsis,7752
379,Acanthonotus,42
380,Acanthonotus,2005
381,Acanthonotus,4812
382,Acanthonus,4994
383,Acanthonyx,2559
384,Acanthopagrus,6849
385,Acanthopagurus,5168
386,Acanthopale,1541
387,Acanthopalpus,3123
388,Acanthoparyphium,3358
389,Acanthopathes,493
390,Acanthopegasus,5382
391,Acanthopetalum,6596
392,Acanthophacelus,5793
393,Acanthophaedusa,1602
394,Acanthopharyngoides,2143
395,Acanthopharynx,7628
396,Acanthopharynx,2143
397,Acanthophorella,463
398,Acanthophragma,3891
399,Acanthophrys,2559
400,Acanthophyllia,4050
401,Acanthophyma,4004
402,Acanthoplacatus,3104
403,Acanthoplax,4891
404,Acanthoplesiops,5732
405,Acanthopleura,1493
406,Acanthopleustes,273
407,Acanthoplichthys,3423
408,Acanthopolymastia,5836
409,Acanthopoma,7484
410,Acanthopora,7072
411,Acanthopora,4343
412,Acanthopora,1375
413,Acanthoporella,1138
414,Acanthoporidra,1138
415,Acanthopotamon,5905
416,Acanthopriapulus,5933
417,Acanthoprimnoa,5938
418,Acanthopsetta,5750
419,Acanthopseudomonocelis,4507
420,Acanthopsis,1652
421,Acanthopsoides,1652
422,Acanthopsole,2745
423,Acanthopsolus,34
424,Acanthoptilum,7764
425,Acanthoptyx,1430
426,Acanthopupa,7706
427,Acanthopus,3069
428,Acanthorhabdus,49
429,Acanthorhodeus,2005
430,Acanthorutilus,2005
431,Acanthosaccus,6473
432,Acanthosaropathes,493
433,Acanthoscapha,872
434,Acanthoscina,6611
435,Acanthoscybium,6637
436,Acanthosentis,6278
437,Acanthosepion,6697
438,Acanthoserolis,6713
439,Acanthosiphodera,1873
440,Acanthosoma,6710
441,Acanthosoma,2565
441,Acanthosoma,2565
442,Acanthosphex,511
443,Acanthosquilla,4650
444,Acanthostepheia,4910
445,Acanthostictoporella,7012
446,Acanthostomoides,1873
447,Acanthostomum,1873
448,Acanthostracion,5102
449,Acanthostrongylophora,5483
450,Acanthostylotella,183
451,Acanthotanais,5319
452,Acanthotarsius,5830
453,Acanthotarsius,5830
454,Acanthotetilla,7255
455,Acanthotrapeza,3414
456,Acanthotrema,3319
457,Acanthotrema,5198
458,Acanthotrema,3319
459,Acanthotriaena,5139
460,Acanthotrigonia,6201
461,Acanthotrochus,4612
462,Acanthotrophon,4570
463,Acanthotrypa,7452
464,Acanthotrypella,331
465,Acanthotrypina,7452
466,Acanthotylotra,6943
467,Acanthoxa,3478
468,Acanthoxifer,3334
469,Acanthozone,2565
470,Acanthozoon,6094
471,Acanthozostera,1493
472,Acanthuritrema,3838
473,Acanthurus,47
474,Acanthus,5634
475,Acantocybium,6637
476,Acantonodella,6637
477,Acantopsis,1652
478,Acapoeta,2005
479,Acar,579
480,Acara,1554
481,Acarana,545
482,Acarichthys,1554
483,Acarnia,4397
484,Acarnus,49
485,Acarobythites,1092
486,Acaroceras,4430
487,Acarochelopodia,3123
488,Acaromantis,3123
489,Acaronia,1554
490,Acarothrix,3123
490,Acarothrix,3123
491,Acartauchenius,4004
492,Acartia,50
493,Acartiapotamon,5905
494,Acartiella,50
495,Acartomyia,1912
496,Acarus,48
497,Acasta,557
498,Acauda,4628
499,Acaudina,1299
500,Acaulis,51
501,Acauloides,51
502,Acavella,52
503,Acavus,52
504,Acca,5545
505,Accacladium,53
506,Accacladocoelium,53
507,Accacoelium,53
508,Accalathura,3892
509,Accedomoera,5877
510,Accessorius,3104
511,Accipenser,70
512,Accipiter,54
513,Accubogammarus,7626
514,Aceeca,4282
515,Acelis,5669
516,Acelis,5719
517,Acella,4122
518,Acentrogobius,3013
519,Acentrolophus,1326
520,Acentronichthys,3279
521,Acentronura,7146
522,Acentronus,7842
523,Acentrophryne,4001
524,Acephalodorylaimus,2494
525,Acera,208
526,Acera,3411
527,Acera,187
528,Aceractis,187
529,Acerana,545
530,Aceras,208
531,Aceratias,4001
532,Aceratophallus,6374
533,Acerhacus,5707
534,Acerina,5430
535,Acerinucleus,1314
536,Aceroides,4910
537,Acerointestinecola,3274
538,Acerominyas,4453
539,Aceropsis,4910
539,Aceropsis,4910
540,Aceros,2701
541,Aceros,4910
542,Acerotisa,2701
543,Acerrotrupa,2701
544,Acerviclausa,2701
545,Acervochalina,1406
546,Acespadia,3923
547,Acesta,3973
548,Acesta,5292
549,Aceste,6588
550,Acestina,6588
551,Acestoplana,1385
552,Acestridium,4075
553,Acestrocephalus,1423
554,Acestrorhynchus,55
555,Acestus,55
556,Acetabulastoma,5257
557,Acetes,6710
558,Acetodextra,3319
559,Achaeopsis,3556
560,Achaeta,2495
561,Achaetobonellia,963
562,Achaeus,3556
563,Achagua,6153
564,Acharadria,7582
565,Acharax,6819
566,Acharnes,1554
567,Achasmea,2871
568,Achates,2571
569,Achatina,58
570,Achatinella,57
571,Achatinelloides,1351
572,Achatinus,58
573,Achatium,58
574,Acheilognathus,2005
575,Acheles,6710
576,Achelia,294
577,Acheliana,294
578,Achelidelphys,4824
579,Acheliderma,49
580,Acheliognathus,2005
581,Achelion,2535
582,Achelous,5902
583,Acheloüs,5902
584,Achemenides,1737
585,Achenella,7212
586,Acheronaster,5064
587,Acheronia,5170
588,Acheronopa,1430
589,Acherosoma,3107
590,Acherusia,145
591,Achinoe,5673
592,Achipteria,60
593,Achipterina,1359
594,Achiridota,4612
595,Achiroides,6818
596,Achirophichthys,4992
597,Achiropsetta,62
598,Achiropsis,61
599,Achirus,61
600,Achlidon,6153
601,Achlyonice,2474
602,Achlyopa,6818
603,Achlysiella,5926
604,Achoerodus,3753
605,Achoerus,1873
606,Achoerus,1742
607,Acholades,63
608,Acholoe,5840
609,Achondrostoma,2005
610,Achoronemertes,1821
611,Achramorpha,64
612,Achromadora,65
613,Achromoporus,1453
614,Achtheinus,5224
615,Achtheres,3923
616,Aciconula,1214
617,Acicula,1214
618,Acicula,66
619,Acicula,2787
620,Acicularia,7629
621,Acicularia,2657
622,Aciculina,4661
623,Aciculina,6259
624,Aciculina,2787
625,Aciculites,6617
626,Aciculomarphysa,2667
627,Acidops,68
628,Acidostoma,69
629,Acies,5900
630,Acila,4849
631,Acilius,724
632,Acinacea,2918
633,Acinacibolbina,2918
634,Acinocheirodon,1423
635,Acinodrillia,2358
636,Acinolaemus,2895
637,Acinoproskelos,353
638,Acinopsis,6455
639,Acinulus,6455
640,Acinus,6455
641,Aciona,2571
642,Acipenser,70
643,Acipensericola,530
644,Acipenserobdella,5647
645,Acipes,934
646,Acirrostylus,1553
647,Acirsa,2571
648,Acis,5756
649,Acisternum,5707
650,Acladia,3164
651,Acladocricus,6397
652,Acleotrema,2238
653,Aclesia,516
654,Acliceratia,3588
655,Aclis,2657
656,Aclisina,4568
657,Aclistothyra,2871
658,Aclophora,7531
659,Aclophoropsis,7531
660,Aclymene,4199
661,Aclyvolva,5124
662,Acmaea,72
663,Acmaeolaimus,72
664,Acmaeopleura,7716
665,Acmaturris,4207
666,Acme,66
667,Acmella,658
668,Acmira,5292
669,Acmonotus,7146
670,Acmopupa,7743
671,Acmostomum,5669
672,Acnodon,6719
673,Acochlidium,74
674,Acodontaster,4899
675,Acoeleorhynchus,7223
676,Acoelocalyx,2681
677,Acoetes,76
678,Acoleus,77
679,Acolochirus,1910
