id,name,order_id
583,Arctostreidae,492
584,Arcturidae,354
585,Arcturididae,354
586,Arcyzonidae,354
587,Ardeidae,158
588,Areneidae,740
589,Arenicolidae,
590,Arenigomyidae,
591,Arenochalininae,552
592,Arenopontiidae,320
593,Argasidae,355
594,Argentinidae,62
595,Argestidae,320
596,Argissidae,23
597,Argnidae,690
598,Argonautidae,470
599,Argulidae,63
600,Arhynchobatidae,594
601,Arhynchonemertidae,594
602,Arhythmacanthidae,249
603,Ariciidae,249
604,Arietellidae,107
605,Ariidae,637
606,Ariolimacidae,690
607,Ariommatidae,507
608,Arionidae,690
609,Ariophantidae,690
610,Aristeidae,216
611,Aristiidae,23
612,Aristozoidae,57
613,Armadillidae,354
614,Armadillidiidae,354
615,Armaueriidae,562
616,Armilliferidae,566
617,Arminidae,468
618,Armorhydridae,383
619,Arripidae,507
620,Artedidraconidae,507
621,Artemiidae,33
622,Artemiopsidae,33
623,Artemonidae,690
624,Artesiidae,23
625,Arthessidae,23
626,Arthrosphaeridae,657
627,Arthrostylidae,187
628,Artotrogidae,645
629,Arulidae,16
630,Asaphidae,120
631,Ascarididae,596
632,Ascaridiidae,596
633,Ascidae,415
634,Ascidicolidae,200
635,Ascidiidae,517
636,Ascobullidae,517
637,Ascodictyidae,190
638,Ascomyzontidae,645
639,Asconiscidae,354
640,Ascopariidae,454
641,Ascorhynchidae,497
642,Ascorhynchoidea family incertae sedis,497
643,Ascosiidae,145
644,Ascothoracidae,221
645,Asellidae,354
646,Asilidae,239
647,Aspergillidae,239
648,Aspersentidae,249
649,Asperspinidae,249
650,Aspidobothridae,74
651,Aspidoderidae,596
652,Aspidodiadematidae,73
653,Aspidogastridae,74
654,Aspidosiphonidae,75
655,Aspidostomatidae,145
656,Asplanchnidae,546
657,Aspredinidae,637
658,Assimineidae,390
659,Astacidae,216
660,Astacillidae,354
661,Astartidae,121
662,Astegistidae,616
663,Asteiidae,239
664,Asteriidae,278
665,Asterinidae,749
666,Asteriomyzostomidae,446
667,Asterocheridae,645
668,Asterodiscididae,749
669,Asterometridae,172
670,Asteromyzostomidae,446
671,Asteronychidae,271
672,Asterophilidae,390
673,Asteropidae,749
674,Asteropseidae,749
675,Asteroschematidae,271
676,Asterostomatidae,651
677,Astraeidae,622
678,Astralochomidae,732
679,Astriclypeidae,164
680,Astroblepidae,637
681,Astrocharidae,271
682,Astrochelidae,271
683,Astrocoeniidae,622
684,Astronesthidae,684
685,Astropectinidae,500
686,Astrophiuridae,482
687,Astrophorida incertae sedis,710
688,Astrophytidae,271
689,Astroscleridae,13
690,Astyridae,23
691,Asymmetronidae,23
692,Asyncorynidae,35
693,Atactotoechidae,732
694,Ataphridae,740
695,Atelecrinidae,172
696,Atelecyclidae,216
697,Ateleopodidae,78
698,Atherinidae,81
699,Atherinopsidae,81
700,Athoracophoridae,690
701,Athorybiadae,643
702,Athorybiidae,643
703,Atlantasellidae,354
704,Atlantidae,390
705,Atlantisinidae,145
706,Atollidae,178
707,Atomodesmatidae,435
708,Atopechinidae,52
709,Atopetholidae,664
710,Atopochetidae,664
711,Atopocrinidae,172
712,Atopogestidae,666
713,Atopogonidae,555
714,Atorellidae,178
715,Atractidae,596
716,Atractotrematidae,530
717,Atractylidae,35
718,Atraktoprionidae,268
719,Attemsiidae,155
720,Atthilidae,468
721,Atubaridae,468
722,Aturiidae,449
723,Atydidae,130
724,Atyidae,216
725,Atylenchidae,746
726,Atylidae,23
727,Auchenipteridae,637
728,Auerbachiidae,96
729,Augaptilidae,107
730,Aulacoctenidae,204
731,Aulacomyellidae,492
732,Aulacothyropsidae,706
733,Aulastraeoporidae,622
734,Aulocalycidae,399
735,Aulocystidae,397
736,Aulolaimidae,538
737,Aulolaimoididae,244
738,Aulopidae,84
739,Auloplacidae,620
740,Aulopodidae,84
741,Auloporidae,85
742,Aulorhynchidae,286
743,Aulostomidae,698
744,Aurelianiidae,8
745,Auriculidae,256
746,Auridistomidae,530
747,Australimyzidae,239
748,Australiosomatidae,555
749,Australiteuthidae,440
750,Australocytherideidae,550
751,Australomedusidae,35
752,Australomicroprotopidae,23
753,Austrarcturellidae,354
754,Austroastacidae,216
755,Austrobalanidae,635
756,Austrodecidae,497
757,Austroglanididae,637
758,Austrognathiidae,106
759,Austroniphargidae,23
760,Aviculidae,492
761,Aviculopectinidae,501
762,Axianassidae,216
763,Axiidae,216
764,Axinellidae,86
765,Axinidae,406
766,Axonolaimidae,50
767,Axoporidae,35
768,Azecidae,690
769,Azoricidae,710
770,Azygiidae,530
771,Babainidae,468
772,Babakinidae,468
773,Babinkidae,3
774,Babyloniidae,456
775,Baccigeridae,530
776,Bacropodidae,155
777,Bactroporidae,187
778,Badidae,507
779,Baeriidae,88
780,Baetidae,263
781,Bagridae,637
782,Baicalarctiidae,573
